number,masked_number,pattern
07405666608,07405-66--66-0*,2Same2digitRepeats
07404355557,074043-55--55-*,2Same2digitRepeats
07932622220,079326-22--22-*,2Same2digitRepeats
07466801234,07466801234,No match!
07405555362,0740-55--55-36*,2Same2digitRepeats
07466663429,074-66--66-342*,2Same2digitRepeats
07587898889,07587-89-8*-89-,2Unique2digitRepeats
07741741283,07-741--741-28*,2Unique3digitRepeats
07385700004,073857-00--00-*,2Same2digitRepeats
07796644448,077966-44--44-*,2Same2digitRepeats
07931997555,07931997555,No match!
07466660403,074-66--66-040*,2Same2digitRepeats
07444451889,07-44--44-5188*,2Same2digitRepeats
07586742345,07586742345,No match!
07399992248,073-99--99-224*,2Same2digitRepeats
07404507404,-07404-*-07404-,2Unique5digitRepeats
07438475678,07438475678,No match!
07534954534,07-534-95*-534-,2Unique3digitRepeats
07467467028,0-746--746-702*,2Unique3digitRepeats
07508508277,07-508--508-27*,2Unique3digitRepeats
07467467387,0-746--746-738*,2Unique3digitRepeats
07424295678,07-42--42-9567*,2Unique2digitRepeats
07768411555,07768411555,No match!
07459559111,074-59-5-59-11*,2Unique2digitRepeats
07733811333,077-33-811-*3-3,2Same2digitRepeats
07405113666,07405113666,No match!
07377775102,073-77--77-510*,2Same2digitRepeats
07467467325,0-746--746-732*,2Unique3digitRepeats
07459506459,07-459-50*-459-,2Unique3digitRepeats
07438577757,07438-57-7*-57-,2Unique2digitRepeats
07503503011,07-503--503-01*,2Unique3digitRepeats
07388100005,073881-00--00-*,2Same2digitRepeats
07538779538,07-538-77*-538-,2Unique3digitRepeats
07448448412,07-448--448-41*,2Unique3digitRepeats
07466660328,074-66--66-032*,2Same2digitRepeats
07466662039,074-66--66-203*,2Same2digitRepeats
07785759785,07-785-75*-785-,2Unique3digitRepeats
07721188555,0772-118855-*,pairs
07377779274,073-77--77-927*,2Same2digitRepeats
07466667575,074-66--66-757*,2Same2digitRepeats
07534765534,07-534-76*-534-,2Unique3digitRepeats
07901566565,07901-56-6-56-*,2Unique2digitRepeats
07392392873,07-392--392-87*,2Unique3digitRepeats
07377779303,073-77--77-930*,2Same2digitRepeats
07503503006,07-503--503-00*,2Unique3digitRepeats
07467467934,0-746--746-793*,2Unique3digitRepeats
07377778719,073-77--77-871*,2Same2digitRepeats
07717717638,0-771--771-763*,2Unique3digitRepeats
07436436846,07-436--436-84*,2Unique3digitRepeats
07932425678,07932425678,No match!
07459459278,07-459--459-27*,2Unique3digitRepeats
07440277440,0-7440-2*-7440-,2Unique4digitRepeats
07503444497,07503-44--44-9*,2Same2digitRepeats
07796796980,07-796--796-98*,2Unique3digitRepeats
07919434333,07919-43--43-3*,2Unique2digitRepeats
07503503440,07-503--503-44*,2Unique3digitRepeats
07503503009,07-503--503-00*,2Unique3digitRepeats
07405405492,07-405--405-49*,2Unique3digitRepeats
07438438175,07-438--438-17*,2Unique3digitRepeats
07503503027,07-503--503-02*,2Unique3digitRepeats
07437777182,0743-77--77-18*,2Same2digitRepeats
07392544442,073925-44--44-*,2Same2digitRepeats
07899780678,0-78-99-78-0*-78-,3Unique2digitRepeats
07909714909,07-909-71*-909-,2Unique3digitRepeats
07774125678,07774125678,No match!
07503503850,07-503--503-85*,2Unique3digitRepeats
07826826906,07-826--826-90*,2Unique3digitRepeats
07466466156,07-466--466-15*,2Unique3digitRepeats
07375333326,07375-33--33-2*,2Same2digitRepeats
07388299997,073882-99--99-*,2Same2digitRepeats
07375333553,0737-53-33*-53-,2Unique2digitRepeats
07385323332,07385-32-3*-32-,2Unique2digitRepeats
07903342903,07-903-34*-903-,2Unique3digitRepeats
07587587223,0-758--758-722*,2Unique3digitRepeats
07496235496,07-496-23*-496-,2Unique3digitRepeats
07503503091,07-503--503-09*,2Unique3digitRepeats
07554757529,0-75-54-75--75-2*,3Unique2digitRepeats
07760482345,07760482345,No match!
07392392213,07-392--392-21*,2Unique3digitRepeats
07405405079,07-405--405-07*,2Unique3digitRepeats
07448888409,0744-88--88-40*,2Same2digitRepeats
07388395678,07388395678,No match!
07833336450,078-33--33-645*,2Same2digitRepeats
07949999455,07-94-999-94-5*,2Unique2digitRepeats
07466668560,074-66--66-856*,2Same2digitRepeats
07786666515,0778-66--66-51*,2Same2digitRepeats
07448222424,074482*-24--24-,2Unique2digitRepeats
07552552877,07-552--552-87*,2Unique3digitRepeats
07435351435,07-435-35*-435-,2Unique3digitRepeats
07721441818,077214*-18--18-,2Unique2digitRepeats
07436436293,07-436--436-29*,2Unique3digitRepeats
07771058771,07-771-05*-771-,2Unique3digitRepeats
07769316931,07*-6931--6931-,2Unique4digitRepeats
07436434443,07-43-6-43-4*-43-,3Unique2digitRepeats
07377635678,07377635678,No match!
07901633332,079016-33--33-*,2Same2digitRepeats
07375233331,073752-33--33-*,2Same2digitRepeats
07466668502,074-66--66-850*,2Same2digitRepeats
07956373377,07956-37-3-37-*,2Unique2digitRepeats
07424333131,074243*-31--31-,2Unique2digitRepeats
07467467059,0-746--746-705*,2Unique3digitRepeats
07436436904,07-436--436-90*,2Unique3digitRepeats
07467799992,074677-99--99-*,2Same2digitRepeats
07424444642,07-42-4444*-42-,2Unique2digitRepeats
07444479205,07-44--44-7920*,2Same2digitRepeats
07467467916,0-746--746-791*,2Unique3digitRepeats
07466664793,074-66--66-479*,2Same2digitRepeats
07552552978,07-552--552-97*,2Unique3digitRepeats
07551809551,07-551-80*-551-,2Unique3digitRepeats
07448991444,07-44-8991-*4-4,2Same2digitRepeats
07437704567,07437704567,No match!
07747747227,0-774--774-722*,2Unique3digitRepeats
07833623833,07-833-62*-833-,2Unique3digitRepeats
07440440752,07-440--440-75*,2Unique3digitRepeats
07444453219,07-44--44-5321*,2Same2digitRepeats
07467467908,0-746--746-790*,2Unique3digitRepeats
07466660446,07-46-6660*-46-,2Unique2digitRepeats
07979544379,0-79--79-544*-79-,3Unique2digitRepeats
07503503864,07-503--503-86*,2Unique3digitRepeats
07405405161,07-405--405-16*,2Unique3digitRepeats
07879273456,07879273456,No match!
07435353135,074-35--35-3*-35-,3Unique2digitRepeats
07570595570,07-570-59*-570-,2Unique3digitRepeats
07424444383,0742-44--44-38*,2Same2digitRepeats
07507666116,-07-5-07-66611*,2Unique2digitRepeats
07741606741,07-741-60*-741-,2Unique3digitRepeats
07466828288,07466-82--82-8*,2Unique2digitRepeats
07438346438,07-438-34*-438-,2Unique3digitRepeats
07501515115,0750-15--15-*-15-,3Unique2digitRepeats
07459459468,07-459--459-46*,2Unique3digitRepeats
07375333384,07375-33--33-8*,2Same2digitRepeats
07990759990,07-990-75*-990-,2Unique3digitRepeats
07584666632,07584-66--66-3*,2Same2digitRepeats
07947330060,07947330060,No match!
07551422221,075514-22--22-*,2Same2digitRepeats
07503503860,07-503--503-86*,2Unique3digitRepeats
07487331113,07487331113,No match!
07425412541,07*-2541--2541-,2Unique4digitRepeats
07503397503,0-7503-3*-7503-,2Unique4digitRepeats
07405882555,07405882555,No match!
07584849384,075-84--84-9*-84-,3Unique2digitRepeats
07503333284,0750-33--33-28*,2Same2digitRepeats
07376666595,0737-66--66-59*,2Same2digitRepeats
07570263456,07570263456,No match!
07448997448,0-7448-9*-7448-,2Unique4digitRepeats
07404473404,07-404-47*-404-,2Unique3digitRepeats
07947722225,079477-22--22-*,2Same2digitRepeats
07909722772,07909-72-2*-72-,2Unique2digitRepeats
07417417851,0-741--741-785*,2Unique3digitRepeats
07876711119,078767-11--11-*,2Same2digitRepeats
07810433558,07810433558,No match!
07496246789,07496246789,No match!
07765552345,07765552345,No match!
07436436084,07-436--436-08*,2Unique3digitRepeats
07833774666,07833774666,No match!
07502969966,07502-96-9-96-*,2Unique2digitRepeats
07833330917,078-33--33-091*,2Same2digitRepeats
07432008088,074320-08--08-*,2Unique2digitRepeats
07377775521,073-77--77-552*,2Same2digitRepeats
07385722555,07385722555,No match!
07393151234,07393151234,No match!
07466662514,074-66--66-251*,2Same2digitRepeats
07440665565,074406-65-*-65-,2Unique2digitRepeats
07436436217,07-436--436-21*,2Unique3digitRepeats
07570067575,0-757-006-757-*,2Unique3digitRepeats
07466703456,07466703456,No match!
07502966502,07-502-96*-502-,2Unique3digitRepeats
07466662791,074-66--66-279*,2Same2digitRepeats
07503503188,07-503--503-18*,2Unique3digitRepeats
07501744446,075017-44--44-*,2Same2digitRepeats
07467670567,074-67--67-0*-67-,3Unique2digitRepeats
07448448246,07-448--448-24*,2Unique3digitRepeats
07503503409,07-503--503-40*,2Unique3digitRepeats
07375333381,07375-33--33-8*,2Same2digitRepeats
07733338766,077-33--33-876*,2Same2digitRepeats
07951951543,07-951--951-54*,2Unique3digitRepeats
07377778091,073-77--77-809*,2Same2digitRepeats
07443904443,07-443-90*-443-,2Unique3digitRepeats
07438438271,07-438--438-27*,2Unique3digitRepeats
07932530932,07-932-53*-932-,2Unique3digitRepeats
07788493788,07-788-49*-788-,2Unique3digitRepeats
07920433339,079204-33--33-*,2Same2digitRepeats
07377774457,073-77--77-445*,2Same2digitRepeats
07884474884,07-884-47*-884-,2Unique3digitRepeats
07448448634,07-448--448-63*,2Unique3digitRepeats
07979794674,0-79--79--79-467*,3Unique2digitRepeats
07876553444,07876553444,No match!
07979307927,-079-793-079-2*,2Unique3digitRepeats
07785426969,077854*-69--69-,2Unique2digitRepeats
07496269496,07-496-26*-496-,2Unique3digitRepeats
07436688436,07-436-68*-436-,2Unique3digitRepeats
07508511515,07508-51-1-51-*,2Unique2digitRepeats
07398025678,07398025678,No match!
07534633331,075346-33--33-*,2Same2digitRepeats
07985564985,07-985-56*-985-,2Unique3digitRepeats
07503503856,07-503--503-85*,2Unique3digitRepeats
07436436077,07-436--436-07*,2Unique3digitRepeats
07377779851,073-77--77-985*,2Same2digitRepeats
07867896159,0-78-6-78-9615*,2Unique2digitRepeats
07880771333,-07-88-07-7133*,2Unique2digitRepeats
07448888574,0-74-48888*-74-,2Unique2digitRepeats
07467467960,0-746--746-796*,2Unique3digitRepeats
07466466986,07-466--466-98*,2Unique3digitRepeats
07833337395,078-33--33-739*,2Same2digitRepeats
07949999307,-07-949999*-07-,2Unique2digitRepeats
07503503028,07-503--503-02*,2Unique3digitRepeats
07417444438,0-74-1-74-4443*,2Unique2digitRepeats
07586999937,07586-99--99-3*,2Same2digitRepeats
07377779971,073-77--77-997*,2Same2digitRepeats
07423199191,07423-19-9-19-*,2Unique2digitRepeats
07741420741,07-741-42*-741-,2Unique3digitRepeats
07448448094,07-448--448-09*,2Unique3digitRepeats
07444459036,07-44--44-5903*,2Same2digitRepeats
07448777730,07448-77--77-3*,2Same2digitRepeats
07947244242,07947-24-4-24-*,2Unique2digitRepeats
07405777739,07405-77--77-3*,2Same2digitRepeats
07949773733,079497-73--73-*,2Unique2digitRepeats
07503333489,0750-33--33-48*,2Same2digitRepeats
07459737459,0-7459-7*-7459-,2Unique4digitRepeats
07555536474,07-55--55-3647*,2Same2digitRepeats
07424424730,07-424--424-73*,2Unique3digitRepeats
07778778102,07-778--778-10*,2Unique3digitRepeats
07399992206,073-99--99-220*,2Same2digitRepeats
07375333325,07375-33--33-2*,2Same2digitRepeats
07467467802,0-746--746-780*,2Unique3digitRepeats
07503503866,07-503--503-86*,2Unique3digitRepeats
07405440666,07-40-54-40-66*,2Unique2digitRepeats
07440552000,07440552000,No match!
07900997555,07900997555,No match!
07444496241,07-44--44-9624*,2Same2digitRepeats
07424421234,07-42-4-42-123*,2Unique2digitRepeats
07493963456,07493963456,No match!
07466667365,074-66--66-736*,2Same2digitRepeats
07398111105,07398-11--11-0*,2Same2digitRepeats
07443443151,07-443--443-15*,2Unique3digitRepeats
07340340318,07-340--340-31*,2Unique3digitRepeats
07466662351,074-66--66-235*,2Same2digitRepeats
07979350679,0-79--79-350*-79-,3Unique2digitRepeats
07405111124,07405-11--11-2*,2Same2digitRepeats
07831448777,07831448777,No match!
07385195678,07385195678,No match!
07425266555,07425266555,No match!
07467836467,07-467-83*-467-,2Unique3digitRepeats
07493969996,07493-96-9*-96-,2Unique2digitRepeats
07947330111,07947330111,No match!
07979047956,0-79--79-04-79-5*,3Unique2digitRepeats
07919133313,07-91--91-3331*,2Unique2digitRepeats
07555598902,07-55--55-9890*,2Same2digitRepeats
07448114448,07-448-11*-448-,2Unique3digitRepeats
07496229929,074962-29-*-29-,2Unique2digitRepeats
07947222992,07947222992,No match!
07438313113,07438-31--31-1*,2Unique2digitRepeats
07448111184,07448-11--11-8*,2Same2digitRepeats
07385606560,0738-560-*-560-,2Unique3digitRepeats
07984664111,07984664111,No match!
07903444482,07903-44--44-8*,2Same2digitRepeats
07983883111,079-83-8-83-11*,2Unique2digitRepeats
07867777479,0786-77--77-47*,2Same2digitRepeats
07385815385,07-385-81*-385-,2Unique3digitRepeats
07788884962,077-88--88-496*,2Same2digitRepeats
07884799555,07884799555,No match!
07405695405,07-405-69*-405-,2Unique3digitRepeats
07503503044,07-503--503-04*,2Unique3digitRepeats
07399635678,07399635678,No match!
07425425403,07-425--425-40*,2Unique3digitRepeats
07375333356,07375-33--33-5*,2Same2digitRepeats
07775692345,07775692345,No match!
07867896170,0-78-6-78-9617*,2Unique2digitRepeats
07444435102,07-44--44-3510*,2Same2digitRepeats
07833330627,078-33--33-062*,2Same2digitRepeats
07466896466,07-466-89*-466-,2Unique3digitRepeats
07405222248,07405-22--22-4*,2Same2digitRepeats
07496447783,07496447783,No match!
07931595931,07-931-59*-931-,2Unique3digitRepeats
07385692345,07385692345,No match!
07424668000,07424668000,No match!
07385654567,0738-56-54-56-*,2Unique2digitRepeats
07798999937,07798-99--99-3*,2Same2digitRepeats
07503333457,0750-33--33-45*,2Same2digitRepeats
07444418393,07-44--44-1839*,2Same2digitRepeats
07392544446,073925-44--44-*,2Same2digitRepeats
07552333307,-07-552333*-07-,2Unique2digitRepeats
07436436219,07-436--436-21*,2Unique3digitRepeats
07377772161,073-77--77-216*,2Same2digitRepeats
07503503169,07-503--503-16*,2Unique3digitRepeats
07553757557,0-755-375-755-*,2Unique3digitRepeats
07833330159,078-33--33-015*,2Same2digitRepeats
07467467063,0-746--746-706*,2Unique3digitRepeats
07405405689,07-405--405-68*,2Unique3digitRepeats
07424747481,0-74-24-74--74-8*,3Unique2digitRepeats
07466668194,074-66--66-819*,2Same2digitRepeats
07899992946,078-99--99-294*,2Same2digitRepeats
07503503036,07-503--503-03*,2Unique3digitRepeats
07448292345,07448292345,No match!
07496297496,0-7496-2*-7496-,2Unique4digitRepeats
07424535335,07424-53--53-3*,2Unique2digitRepeats
07404715404,07-404-71*-404-,2Unique3digitRepeats
07467467031,0-746--746-703*,2Unique3digitRepeats
07377779689,073-77--77-968*,2Same2digitRepeats
07786291234,07786291234,No match!
07405555130,0740-55--55-13*,2Same2digitRepeats
07436436647,07-436--436-64*,2Unique3digitRepeats
07833752833,07-833-75*-833-,2Unique3digitRepeats
07398641398,07-398-64*-398-,2Unique3digitRepeats
07587587551,0-758--758-755*,2Unique3digitRepeats
07884594884,07-884-59*-884-,2Unique3digitRepeats
07501965678,07501965678,No match!
07424333329,07424-33--33-2*,2Same2digitRepeats
07570664567,07570664567,No match!
07503503851,07-503--503-85*,2Unique3digitRepeats
07436436930,07-436--436-93*,2Unique3digitRepeats
07555545704,07-55--55-4570*,2Same2digitRepeats
07392764567,07392764567,No match!
07884799729,07884799729,No match!
07425244333,07425244333,No match!
07405940505,07-405-9-405-0*,2Unique3digitRepeats
07555521249,07-55--55-2124*,2Same2digitRepeats
07551551732,07-551--551-73*,2Unique3digitRepeats
07920121222,07920-12--12-2*,2Unique2digitRepeats
07985544441,079855-44--44-*,2Same2digitRepeats
07503503178,07-503--503-17*,2Unique3digitRepeats
07503333068,0750-33--33-06*,2Same2digitRepeats
07983758375,07*-8375--8375-,2Unique4digitRepeats
07721775977,0-77-21-77-5*-77-,3Same2digitRepeats
07467467956,0-746--746-795*,2Unique3digitRepeats
07587828587,07-587-82*-587-,2Unique3digitRepeats
07459333375,07459-33--33-7*,2Same2digitRepeats
07538599994,075385-99--99-*,2Same2digitRepeats
07407306407,07-407-30*-407-,2Unique3digitRepeats
07423707700,-07-4237-07-70*,2Unique2digitRepeats
07448888142,0744-88--88-14*,2Same2digitRepeats
07810424224,07810-42--42-2*,2Unique2digitRepeats
07448353448,07-448-35*-448-,2Unique3digitRepeats
07459105959,074-59-1*-59--59-,3Unique2digitRepeats
07836666540,0783-66--66-54*,2Same2digitRepeats
07823333505,0782-33--33-50*,2Same2digitRepeats
07466666824,074-66--66-682*,2Same2digitRepeats
07432004404,074320-04-*-04-,2Unique2digitRepeats
07503503022,07-503--503-02*,2Unique3digitRepeats
07459444402,07459-44--44-0*,2Same2digitRepeats
07585739585,07-585-73*-585-,2Unique3digitRepeats
07979347973,0-797-934-797-*,2Unique3digitRepeats
07780721111,-07-78-07-2111*,2Unique2digitRepeats
07467467945,0-746--746-794*,2Unique3digitRepeats
07503503172,07-503--503-17*,2Unique3digitRepeats
07468877239,07468877239,No match!
07392392270,07-392--392-27*,2Unique3digitRepeats
07466665016,074-66--66-501*,2Same2digitRepeats
07405747406,0-740-574-740-*,2Unique3digitRepeats
07437777664,0743-77--77-66*,2Same2digitRepeats
07459443433,074594-43--43-*,2Unique2digitRepeats
07435435695,07-435--435-69*,2Unique3digitRepeats
07468855885,0746-885-*-885-,2Unique3digitRepeats
07392544449,073925-44--44-*,2Same2digitRepeats
07392540392,07-392-54*-392-,2Unique3digitRepeats
07487666627,07487-66--66-2*,2Same2digitRepeats
07466661288,074-66--66-128*,2Same2digitRepeats
07417548417,07-417-54*-417-,2Unique3digitRepeats
07444429157,07-44--44-2915*,2Same2digitRepeats
07990272345,07990272345,No match!
07467467319,0-746--746-731*,2Unique3digitRepeats
07436436124,07-436--436-12*,2Unique3digitRepeats
07766668372,077-66--66-837*,2Same2digitRepeats
07951008333,07951008333,No match!
07951774744,079517-74--74-*,2Unique2digitRepeats
07459111138,07459-11--11-3*,2Same2digitRepeats
07404880488,07*-0488--0488-,2Unique4digitRepeats
07496033335,074960-33--33-*,2Same2digitRepeats
07459115666,07459115666,No match!
07375333396,07375-33--33-9*,2Same2digitRepeats
07741522223,077415-22--22-*,2Same2digitRepeats
07903698903,07-903-69*-903-,2Unique3digitRepeats
07497442242,0-74-9-74-4224*,2Unique2digitRepeats
07501611501,07-501-61*-501-,2Unique3digitRepeats
07867896175,0-78-6-78-9617*,2Unique2digitRepeats
07448232345,07448-23--23-4*,2Unique2digitRepeats
07405405079,07-405--405-07*,2Unique3digitRepeats
07466661764,074-66--66-176*,2Same2digitRepeats
07404404094,07-404--404-09*,2Unique3digitRepeats
07833565665,07833-56--56-6*,2Unique2digitRepeats
07404404615,07-404--404-61*,2Unique3digitRepeats
07466661226,074-66--66-122*,2Same2digitRepeats
07852655852,07-852-65*-852-,2Unique3digitRepeats
07424424613,07-424--424-61*,2Unique3digitRepeats
07503503622,07-503--503-62*,2Unique3digitRepeats
07876755775,07876-75-5*-75-,2Unique2digitRepeats
07375333340,07375-33--33-4*,2Same2digitRepeats
07984868688,07984-86--86-8*,2Unique2digitRepeats
07900522229,079005-22--22-*,2Same2digitRepeats
07444486569,07-44--44-8656*,2Same2digitRepeats
07497611234,07497611234,No match!
07901766661,079017-66--66-*,2Same2digitRepeats
07503503436,07-503--503-43*,2Unique3digitRepeats
07741736789,07741736789,No match!
07949489948,0794-948-*-948-,2Unique3digitRepeats
07398088887,073980-88--88-*,2Same2digitRepeats
07826344665,07826344665,No match!
07375111197,07375-11--11-9*,2Same2digitRepeats
07497442111,0-74-9-74-4211*,2Unique2digitRepeats
07503449333,07503449333,No match!
07436436851,07-436--436-85*,2Unique3digitRepeats
07459885585,074598-85-*-85-,2Unique2digitRepeats
07949999243,0794-99--99-24*,2Same2digitRepeats
07435555056,0743-55--55-05*,2Same2digitRepeats
07884799779,07884-79-9*-79-,2Unique2digitRepeats
07901652222,079016*-22--22-,2Same2digitRepeats
07494494175,07-494--494-17*,2Unique3digitRepeats
07388856388,07-388-85*-388-,2Unique3digitRepeats
07904353355,07904-35-3-35-*,2Unique2digitRepeats
07958066111,07958066111,No match!
07404155551,074041-55--55-*,2Same2digitRepeats
07957622227,079576-22--22-*,2Same2digitRepeats
07466663962,074-66--66-396*,2Same2digitRepeats
07436033636,074-36-0*-36--36-,3Unique2digitRepeats
07467515467,07-467-51*-467-,2Unique3digitRepeats
07404444955,0740-44--44-95*,2Same2digitRepeats
07741435741,07-741-43*-741-,2Unique3digitRepeats
07939120123,07939-12-0-12-*,2Unique2digitRepeats
07551105678,07551105678,No match!
07555568514,07-55--55-6851*,2Same2digitRepeats
07917713456,07917713456,No match!
07503620503,07-503-62*-503-,2Unique3digitRepeats
07459000046,07459-00--00-4*,2Same2digitRepeats
07949999785,0794-99--99-78*,2Same2digitRepeats
07587126789,07587126789,No match!
07932522888,07932522888,No match!
07466665904,074-66--66-590*,2Same2digitRepeats
07438095678,07438095678,No match!
07424883000,07424883000,No match!
07436436910,07-436--436-91*,2Unique3digitRepeats
07467800555,07467800555,No match!
07586750075,-075-8675*-075-,2Unique3digitRepeats
07404746674,0-74-04-74-6*-74-,3Unique2digitRepeats
07440705440,07-440-70*-440-,2Unique3digitRepeats
07467467663,0-746--746-766*,2Unique3digitRepeats
07404233337,074042-33--33-*,2Same2digitRepeats
07852664464,078526-64-*-64-,2Unique2digitRepeats
07440668999,07440668999,No match!
07818755666,07818755666,No match!
07404444969,0740-44--44-96*,2Same2digitRepeats
07984647777,079846*-77--77-,2Same2digitRepeats
07436436295,07-436--436-29*,2Unique3digitRepeats
07946228828,079462-28-*-28-,2Unique2digitRepeats
07501366663,075013-66--66-*,2Same2digitRepeats
